"","X.2","X.1","X","CaseID","Opened","Closed","Updated","Status","Status.Notes","Responsible.Agency","Category","Request.Type","Request.Details","Address","Supervisor.District","Neighborhood","Point","Source","Media.URL","Lat","Long","Census.Block","Zip","Map.Url","Resolve.Time"
"421",421,423,204217,4860895,2015-06-27 21:02:00,2015-08-20 11:34:00,"08/20/2015 11:34:00 AM","Closed","DPT Sign Shop - Sign Serviced -","DPT SignShop Surveyed - Area 1 Queue","Sign Repair","Sign Repair - On_Ground","Freeway_Signs_on_street - On_Ground; support - On_Ground","Intersection of BRYANT ST and 5TH ST",6,"South of Market","(37.7777990131498, -122.400297917326)","Voice In",NA,37.7777990131498,-122.400297917326,60750180001,"94103","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7779104,-122.4000014,0,0,|&center=37.7779104,-122.4000014&zoom=15&rand=-1710171139",1286.53
"422",422,424,451464,3976804,2014-09-03 08:50:46,2014-09-03 11:55:38,"09/03/2014 11:55:38 AM","Closed","Case Completed - resolved: Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","Intersection of 6TH ST and HARRISON ST",6,"South of Market","(37.7772728210938, -122.404070192491)","Web Self Service",NA,37.7772728210938,-122.404070192491,60750180002,"94110","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7774566,-122.4040276,0,0,|&center=37.7774566,-122.4040276&zoom=15&rand=1539834859",3.08
"423",423,425,758079,2539856,2013-06-27 15:16:00,2013-07-12 10:40:07,"07/12/2013 10:40:07 AM","Closed","Case Completed - resolved:","DPW Ops Queue","Graffiti Private Property","Not_Offensive Graffiti on Private Property","Building_other - Not_Offensive","2250 IRVING ST, SAN FRANCISCO, CA, 94122",4,"Outer Sunset","(37.763550670589, -122.482277237741)","Integrated Agency",NA,37.763550670589,-122.482277237741,60750326011,"94122","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.763646,-122.481622700067,0,0,|&center=37.763646,-122.481622700067&zoom=15&rand=-1299575188",355.4
"424",424,426,669801,3048895,2013-11-10 13:30:59,2013-12-04 05:57:58,"12/04/2013 05:57:58 AM","Closed","Case is Invalid - BART ISSUE.","311 Supervisor Queue","General Requests","dpw - bsm - request_for_service","dpw - bsm - request_for_service","Intersection of 16TH ST and MISSION ST",9,"Mission","(37.7650512510466, -122.419669041689)","Integrated Agency",NA,37.7650512510466,-122.419669041689,60750201002,"94110","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.76484295,-122.419343720966,0,0,|&center=37.76484295,-122.419343720966&zoom=15&rand=264024093",568.45
"425",425,427,828765,2065317,2013-02-27 09:56:48,2013-03-08 16:16:48,"03/08/2013 04:16:48 PM","Closed","Case Resolved - 3/6 BY B POOLE","Treasurer/Tax Collector - G","General Requests","tt_collector - tt_collector - followup_request","tt_collector - tt_collector - followup_request","761 COMMERCIAL ST, SAN FRANCISCO, CA, 94108",3,"Chinatown","(37.793823241112, -122.405571635951)","Voice In",NA,37.793823241112,-122.405571635951,60750118001,"94118","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7935515,-122.405973224207,0,0,|&center=37.7935515,-122.405973224207&zoom=15&rand=1171377182",222.33
"426",426,428,1119315,902596,2011-06-17 09:56:54,2011-06-26 17:06:01,"06/26/2011 05:06:01 PM","Closed",NA,"DPW Ops Queue","Graffiti Public Property","Not_Offensive Graffiti on Public Property","Sidewalk_structure - Not_Offensive","Intersection of GENEVA AVE and OCEAN AVE",7,"Outer Mission","(37.7229917073222, -122.45159502589)","Voice In",NA,37.7229917073222,-122.45159502589,60750312011,"94112","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.72355,-122.451107624278,0,0,|&center=37.72355,-122.451107624278&zoom=15&rand=-1229902575",223.15
"427",427,429,550442,3607492,2014-05-02 17:10:55,2014-05-06 10:22:17,"05/06/2014 10:22:17 AM","Closed","Case is a Duplicate - SEE SR #   3600772 , VEH JUST  GOA 5-1-14   * VEH IS  NOT ABANDONED","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car2door","blue - AlphaRomeo - MG  2 dr conv - 711WIT","47 MANGELS AVE, SAN FRANCISCO, CA, 94131",8,"Sunnyside","(37.733032286413, -122.438717414811)","Web Self Service",NA,37.733032286413,-122.438717414811,60750311001,"94127","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7330722,-122.4484171,0,0,|&center=37.7330722,-122.4484171&zoom=15&rand=2128402325",89.19
"428",428,430,400752,4172521,2014-11-03 13:23:53,2014-11-03 03:20:00,"11/03/2014 03:20:00 AM","Closed","Case Completed - resolved: 10/98","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","Intersection of SACRAMENTO ST and HYDE ST",3,"Nob Hill","(37.7919228358865, -122.417582093652)","Voice In",NA,37.7919228358865,-122.417582093652,60750111002,"94109","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7924289,-122.417749,0,0,|&center=37.7924289,-122.417749&zoom=15&rand=-786115634",-10.06
"429",429,431,80373,5267755,2015-11-09 10:30:00,2015-11-09 11:32:00,"11/09/2015 11:32:00 AM","Closed","Case Completed - resolved: Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Boxed or Bagged Items","400 DORADO TER, SAN FRANCISCO, CA, 94112",7,NA,"(37.725572983, -122.461588086)","Open311","http://mobile311.sfgov.org/media/san_francisco/report/photos/5640e625df865765f7497a88/report.jpg",37.725572983,-122.461588086,60750310003,"94127","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7257408,-122.4613421,0,0,|&center=37.7257408,-122.4613421&zoom=15&rand=-478955222",1.03
"430",430,432,1402223,467875,2009-07-13 19:59:02,2009-07-16 16:11:07,"07/16/2009 04:11:07 PM","Closed",NA,"DPW Ops Queue","Street and Sidewalk Cleaning","Sidewalk_Cleaning","Sidewalk_Cleaning","1225 OAK ST, SAN FRANCISCO, CA, 94117",5,"Haight Ashbury","(37.772568192, -122.439622502)","Voice In",NA,37.772568192,-122.439622502,60750167004,"94117","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7730707,-122.4380007,0,0,|&center=37.7730707,-122.4380007&zoom=15&rand=-553186099",68.2
"431",431,433,50787,5359369,2015-12-09 12:25:02,2015-12-21 10:53:18,"12/21/2015 10:53:18 AM","Closed","Case Completed - resolved: Maximo Service Request has been resolved","PUC Sewer Ops","Street Defects","Pavement_Defect","Pavement_Defect","82 APOLLO ST, SAN FRANCISCO, CA, 94124",10,"Silver Terrace","(37.73179449879, -122.398445768703)","Integrated Agency",NA,37.73179449879,-122.398445768703,60750230031,"94124","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.732019,-122.3980739,0,0,|&center=37.732019,-122.3980739&zoom=15&rand=-1099339504",286.47
"432",432,434,360635,4320061,2014-12-20 11:43:00,2014-12-20 02:00:54,"12/20/2014 02:00:54 AM","Closed","Case Completed - resolved: done","DPW Ops Queue","Illegal Postings","Illegal Postings - No_Posting_Date",NA,"Intersection of BURNETT AVE and DIAMOND HEIGHTS BLVD",8,"Upper Market","(37.746945453401, -122.444847383283)","Open311",NA,37.746945453401,-122.444847383283,60750204021,"94131","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7469337,-122.444839,0,0,|&center=37.7469337,-122.444839&zoom=15&rand=-1439530831",-9.7
"433",433,435,1470380,354606,2009-01-19 15:26:13,2009-01-23 06:07:35,"01/23/2009 06:07:35 AM","Closed",NA,"DPW Ops Queue","Street and Sidewalk Cleaning","Sidewalk_Cleaning","Garbage","Intersection of 15TH ST and WIESE ST",9,"Mission","(37.766624564128, -122.42063775083)","Voice In",NA,37.766624564128,-122.42063775083,60750201002,"94103","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7669797,-122.420495771961,0,0,|&center=37.7669797,-122.420495771961&zoom=15&rand=-556946385",86.69
"434",434,436,9791,5482087,2016-01-19 20:50:29,NA,"01/20/2016 01:22:08 AM","Open","accepted","DPW Ops Queue","Graffiti Private Property","Offensive Graffiti on Private Property","Building_residential - Offensive","2045 OAK ST, SAN FRANCISCO, CA, 94117",5,"Haight Ashbury","(37.771016440315, -122.453019056432)","Open311","http://mobile311.sfgov.org/media/san_francisco/report/photos/569f120ddf86207c03fe50cd/report.jpg",37.771016440315,-122.453019056432,60750166003,"94117-9991","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7705464,-122.453015790793,0,0,|&center=37.7705464,-122.453015790793&zoom=15&rand=-79592691",NA
"435",435,437,1213691,762932,2010-10-30 18:03:36,2010-11-16 16:54:33,"11/16/2010 04:54:33 PM","Closed",NA,"PUC Sewer Ops","Sewer Issues","Sewage_Back_Up","Outofsewervent4inch","Intersection of BROADWAY and MONTGOMERY ST",3,"North Beach","(37.7982229268791, -122.403863164907)","Voice In",NA,37.7982229268791,-122.403863164907,60750106002,"94111","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7981421,-122.4038983,0,0,|&center=37.7981421,-122.4038983&zoom=15&rand=230574040",407.85
"436",436,438,1262354,688995,2010-07-07 15:04:25,2010-07-14 12:54:18,"07/14/2010 12:54:18 PM","Closed",NA,"DPH - Environmental Health - G","General Requests","dph - environmental_health - complaint","dph - environmental_health - complaint","854 45TH AVE, SAN FRANCISCO, CA, 94121",1,"Outer Richmond","(37.772441354, -122.50534984)","Voice In",NA,37.772441354,-122.50534984,60750479014,"94121","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7715788,-122.5056109,0,0,|&center=37.7715788,-122.5056109&zoom=15&rand=-953260591",165.83
"437",437,439,1435145,414592,2009-04-19 19:15:55,2009-04-28 14:10:28,"04/28/2009 02:10:28 PM","Closed",NA,"DPW Ops Queue","Graffiti Public Property","Not_Offensive Graffiti on Public Property","Sidewalk_structure - Not_Offensive","Intersection of LAKEWOOD AVE and OCEAN AVE",7,"Ocean View","(37.7261316903306, -122.464572592852)","Voice In",NA,37.7261316903306,-122.464572592852,60750309003,"94127","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.72637275,-122.463972254675,0,0,|&center=37.72637275,-122.463972254675&zoom=15&rand=1650762546",210.91
"438",438,440,1525981,263472,2008-08-12 09:47:00,2008-10-09 11:15:00,"10/09/2008 11:15:00 AM","Closed",NA,"RPD Park Service Area 1 Queue","General Requests","rpd - neighborhood_services - request_for_service","rpd - neighborhood_services - request_for_service","Mountain Lake Park,    1 11TH AVE, SAN FRANCISCO, CA, 94118",2,"Presidio","(37.787242691, -122.4690458)","Voice In",NA,37.787242691,-122.4690458,60750402004,"94118","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7871516,-122.4694162,0,0,|&center=37.7871516,-122.4694162&zoom=15&rand=1896359000",1393.47
"439",439,441,1310893,613851,2010-03-04 15:29:03,2010-03-06 06:16:58,"03/06/2010 06:16:58 AM","Closed",NA,"DPW Ops Queue","Street and Sidewalk Cleaning","Sidewalk_Cleaning","Furniture","3630 DIVISADERO ST, SAN FRANCISCO, CA, 94123",2,"Marina","(37.803078627028, -122.443405222068)","Voice In",NA,37.803078627028,-122.443405222068,60750127001,"94123","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.80332035,-122.442930752302,0,0,|&center=37.80332035,-122.442930752302&zoom=15&rand=1147452992",38.8
"440",440,442,1292955,641923,2010-04-21 10:44:59,2010-05-26 15:16:53,"05/26/2010 03:16:53 PM","Closed",NA,"DPW Ops Queue","Graffiti Public Property","Offensive Graffiti on Public Property","City_receptacle - Offensive","Intersection of HAYES ST and LAGUNA ST",5,"Western Addition","(37.7764642613238, -122.426263287452)","Web Self Service",NA,37.7764642613238,-122.426263287452,60750163001,"94102","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7763523,-122.4263728,0,0,|&center=37.7763523,-122.4263728&zoom=15&rand=630887770",844.53
"441",441,443,297255,4543938,2015-03-04 06:33:00,2015-03-06 15:14:00,"03/06/2015 03:14:00 PM","Closed","Case Resolved - 3/6/2015 - INSTALLED 150W LAMP.  POLE#21 PANHANDLE PARK.","PUC Streetlights Queue","Streetlights","Streetlight - Light_Burnt_Out","Light_Burnt_Out on Metal Pole","1570 FELL ST, SAN FRANCISCO, CA, 94117",5,NA,"(37.773382438, -122.443754983)","Open311",NA,37.773382438,-122.443754983,60750165001,"94117","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7734199,-122.442568,0,0,|&center=37.7734199,-122.442568&zoom=15&rand=-765966985",56.68
"442",442,444,493450,3828816,2014-07-15 10:03:52,2014-07-15 11:49:01,"07/15/2014 11:49:01 AM","Closed","Case Completed - resolved: Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Refrigerator","Intersection of 9TH AVE and RIVERA ST",7,"Golden Gate Heights","(37.7470710847044, -122.468350768387)","Integrated Agency",NA,37.7470710847044,-122.468350768387,60750304003,"94116","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7469311,-122.468308894445,0,0,|&center=37.7469311,-122.468308894445&zoom=15&rand=269494637",1.75
"443",443,445,1288286,649334,2010-05-03 14:41:36,2010-07-06 10:17:05,"07/06/2010 10:17:05 AM","Closed",NA,"DPW Ops Queue","Graffiti Private Property","Offensive Graffiti on Private Property","Building_residential - Offensive","Intersection of 25TH AVE and BALBOA ST",1,"Outer Richmond","(37.7763021662275, -122.48446053689)","Voice In",NA,37.7763021662275,-122.48446053689,60750477013,"94121","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7762888,-122.4844609,0,0,|&center=37.7762888,-122.4844609&zoom=15&rand=-525608571",1531.59
"444",444,446,328440,4436001,2015-01-28 09:34:00,2015-01-28 14:21:00,"01/28/2015 02:21:00 PM","Closed","Case Completed - resolved: 10-98","DPW Ops Queue","Illegal Postings","Illegal Posting - Affixed_Improperly","Affixed_Improperly","Intersection of MCALLISTER ST and DIVISADERO ST",5,"Western Addition","(37.7777942795763, -122.438365658779)","Web Self Service",NA,37.7777942795763,-122.438365658779,60750158021,"94115","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7777312,-122.4382193,0,0,|&center=37.7777312,-122.4382193&zoom=15&rand=6504592",4.78
"445",445,447,323679,4452048,2015-02-02 14:04:00,2015-03-05 12:12:00,"03/05/2015 12:12:00 PM","Closed","Case Completed - resolved:","DPW Ops Queue","Graffiti Private Property","Offensive Graffiti on Private Property","Building_commercial - Offensive","Intersection of 9TH ST and FOLSOM ST",6,"South of Market","(37.7737693550901, -122.411609991965)","Open311","http://mobile311.sfgov.org/media/san_francisco/report/photos/54cff472df860e94d1bb0ecf/report.jpg",37.7737693550901,-122.411609991965,60750178022,"94103","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7737289,-122.411262206982,0,0,|&center=37.7737289,-122.411262206982&zoom=15&rand=1703679681",742.13
"446",446,448,1452323,383917,2009-03-05 17:56:32,2009-04-06 06:10:44,"04/06/2009 06:10:44 AM","Closed",NA,"DPW Ops Queue","Graffiti Public Property","Not_Offensive Graffiti on Public Property","Sidewalk_structure - Not_Offensive","Intersection of PACIFIC AVE and POLK ST",3,"Nob Hill","(37.7950273614555, -122.421582890732)","Voice In",NA,37.7950273614555,-122.421582890732,60750110001,"94109","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7947507,-122.421184472534,0,0,|&center=37.7947507,-122.421184472534&zoom=15&rand=745486441",755.24
"447",447,449,1315032,607204,2010-02-22 16:01:00,2010-02-23 06:16:00,"02/23/2010 06:16:00 AM","Closed",NA,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree","Fallen_tree","Intersection of CORBETT AVE and DIXIE ALY",8,"Twin Peaks","(37.754013667, -122.443012974)","Voice In",NA,37.754013667,-122.443012974,60750204022,"94131","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7555497,-122.4430186,0,0,|&center=37.7555497,-122.4430186&zoom=15&rand=747691383",14.25
"448",448,450,473267,3899503,2014-08-08 13:20:00,2015-08-14 15:00:00,"08/14/2015 03:00:00 PM","Closed","Case Completed - resolved: Maximo Service Request has been resolved. Memo: INSTALLED LIGHT SHIELD FOR POST TOP LUM","PUC Streetlights Queue","General Requests","puc - puco - complaint","puc - puco - complaint","20 ROCKWOOD CT, SAN FRANCISCO, CA, 94127",7,"Laguna Honda","(37.743065131396, -122.457138287275)","Voice In",NA,37.743065131396,-122.457138287275,60750306003,"94116","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7429864,-122.4566381,0,0,|&center=37.7429864,-122.4566381&zoom=15&rand=-1314372849",8905.67
"449",449,451,433660,4042759,2014-09-24 08:04:41,2014-09-24 08:29:58,"09/24/2014 08:29:58 AM","Closed","Case Completed - resolved: Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Refrigerator","Intersection of STOCKTON ST and UNION ST",3,"North Beach","(37.8004450268504, -122.409189780375)","Integrated Agency",NA,37.8004450268504,-122.409189780375,60750106003,"94133","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.8003332,-122.4090513,0,0,|&center=37.8003332,-122.4090513&zoom=15&rand=-2060939210",0.42
"450",450,452,1461523,368828,2009-02-09 10:05:18,2009-02-18 17:19:17,"02/18/2009 05:19:17 PM","Closed",NA,"RPD Park Service Area 3 Queue","Rec and Park Requests","Park - Neighborhood_Services_Area","TrashDumping","Page & Laguna Mini Park, SAN FRANCISCO, CA, 94102",5,"Western Addition","(37.773461447, -122.4252479)","Voice In",NA,37.773461447,-122.4252479,60750168023,"94102","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.77349755,-122.425273414429,0,0,|&center=37.77349755,-122.425273414429&zoom=15&rand=-1794103927",223.23
"451",451,453,74089,5286688,2015-11-15 13:22:26,2016-01-19 11:50:43,"01/19/2016 11:50:43 AM","Closed","Case Completed - resolved: Maximo Service Request has been resolved","PUC Sewer Ops","Sewer Issues","Sewage_back_up","Sewage_back_up Outofsewervent4inch","740 36TH AVE, SAN FRANCISCO, CA, 94121",1,"Outer Richmond","(37.774968498887, -122.496028541676)","Web Self Service","https://311crm-prod.ad.sfgov.org/attachments/viewCaseNoteAttachments.jsp?caseid=5286688",37.774968498887,-122.496028541676,60750478022,"94121","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7754856,-122.4966387,0,0,|&center=37.7754856,-122.4966387&zoom=15&rand=-755137398",1558.47
"452",452,454,32930,5418213,2015-12-30 17:19:58,2015-12-31 11:19:18,"12/31/2015 11:19:18 AM","Closed","Case Completed - resolved: Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Furniture","Intersection of FULTON ST and 44TH AVE",1,"Golden Gate Park","(37.7716402896421, -122.504544388878)","Web Self Service",NA,37.7716402896421,-122.504544388878,60750479014,"94121","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.777239,-122.5049519,0,0,|&center=37.777239,-122.5049519&zoom=15&rand=-1450588151",17.99
"453",453,455,974393,1118031,2012-05-04 16:57:00,2012-05-04 17:28:00,"05/04/2012 05:28:00 PM","Closed",NA,"PUC - Water - G","Sewer Issues","Water_leak","Other","14 HOLLOWAY AVE, SAN FRANCISCO, CA, 94112",7,"Ocean View","(37.722073036, -122.453424175)","Voice In",NA,37.722073036,-122.453424175,60750312012,"94112","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7218471,-122.4551374,0,0,|&center=37.7218471,-122.4551374&zoom=15&rand=-1718813474",0.52
"454",454,456,1306054,621704,2010-03-18 08:12:46,2010-03-21 06:16:49,"03/21/2010 06:16:49 AM","Closed",NA,"DPW Ops Queue","Street and Sidewalk Cleaning","Illegal_Dumping","Garbage","Intersection of PALOU AVE and QUINT ST",10,"Bayview","(37.7371562052248, -122.396515336932)","Twitter",NA,37.7371562052248,-122.396515336932,60750230011,"94124","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.73767615,-122.396264002835,0,0,|&center=37.73767615,-122.396264002835&zoom=15&rand=1046617639",70.07
"455",455,457,1381222,501641,2009-09-08 18:43:34,2009-09-22 10:00:33,"09/22/2009 10:00:33 AM","Closed",NA,"DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car4door","blue - Subaru - Outback - 5TYL446","Intersection of 5TH ST and BERRY ST",6,"South of Market","(37.7740307319051, -122.395576736506)","Voice In",NA,37.7740307319051,-122.395576736506,60750607001,"94158","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7737708,-122.395295651766,0,0,|&center=37.7737708,-122.395295651766&zoom=15&rand=-107648911",327.28
"456",456,458,1281148,660855,2010-05-22 12:28:02,2010-05-23 18:16:59,"05/23/2010 06:16:59 PM","Closed",NA,"DPW Ops Queue","Graffiti Public Property","Not_Offensive Graffiti on Public Property","Pole - Not_Offensive","Intersection of 19TH ST and VALENCIA ST",8,"Mission","(37.7601012510183, -122.421425091251)","Voice In",NA,37.7601012510183,-122.421425091251,60750207001,"94114","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7602394,-122.4212899,0,0,|&center=37.7602394,-122.4212899&zoom=15&rand=442995858",29.82
"457",457,459,220035,4810402,2015-06-08 10:05:00,2015-06-20 04:44:00,"06/20/2015 04:44:00 AM","Closed","Case Completed - resolved: high foot traffice; will increase passes & dpw resources","DPW Ops Queue","Litter Receptacles","Add_remove_garbage_can","N/A","671 ASHBURY ST, SAN FRANCISCO, CA, 94117",5,"Haight Ashbury","(37.769344269344, -122.446869617139)","Open311","http://mobile311.sfgov.org/media/san_francisco/report/photos/5575cb61df8680108f1db4ea/report.jpg",37.769344269344,-122.446869617139,60750166002,"94117","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7699022,-122.4465718,0,0,|&center=37.7699022,-122.4465718&zoom=15&rand=308180470",282.65
"458",458,460,1396182,477460,2009-07-29 11:50:36,2009-07-31 06:11:25,"07/31/2009 06:11:25 AM","Closed",NA,"DPW Ops Queue","Street and Sidewalk Cleaning","Illegal_Dumping","Furniture","Intersection of CARD ALY and STOCKTON ST",3,"Russian Hill","(37.799035966137, -122.408912261634)","Voice In",NA,37.799035966137,-122.408912261634,60750107002,"94133","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7991379,-122.4088569,0,0,|&center=37.7991379,-122.4088569&zoom=15&rand=-280044779",42.35
"459",459,461,141969,5073441,2015-09-07 10:45:00,2015-09-07 11:01:00,"09/07/2015 11:01:00 AM","Closed","Case Completed - resolved: DUPLICATE SERVICE REQUEST; WILL SERVICE AS 5072833","Recology_Abandoned","Street and Sidewalk Cleaning","Illegal Encampment","Carts","Intersection of PAGE ST and SHRADER ST",5,"Haight Ashbury","(37.7703126406832, -122.452055246434)","Open311",NA,37.7703126406832,-122.452055246434,60750166003,"94117","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7701498,-122.4524793,0,0,|&center=37.7701498,-122.4524793&zoom=15&rand=333990228",0.27
"460",460,462,8988,5484318,2016-01-20 12:21:08,NA,"01/20/2016 12:22:37 PM","Open","Open","DPT Meter_Bike Queue","Damaged Property","Damaged Parking_Meter","Parking_Meter","Intersection of 18TH ST and CASTRO ST",8,"Castro","(37.7608889246966, -122.435000817757)","Voice In",NA,37.7608889246966,-122.435000817757,60750206004,"94114","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.76069805,-122.434695716457,0,0,|&center=37.76069805,-122.434695716457&zoom=15&rand=1774406358",NA
"461",461,463,717685,2775883,2013-08-31 18:22:41,2013-09-01 14:02:19,"09/01/2013 02:02:19 PM","Closed","Case Resolved - 2pm","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Furniture","Intersection of BUCHANAN ST and LINDEN ST",5,"Hayes Valley","(37.7757864382788, -122.427818951887)","Voice In",NA,37.7757864382788,-122.427818951887,60750163002,"94102","http://open.mapquestapi.com/staticmap/v4/getmap?key=A6IMvezsRBvUx8gFnKtX7thKn26pELMf&type=map&size=225,160&pois=purple-1,37.7759784,-122.427519,0,0,|&center=37.7759784,-122.427519&zoom=15&rand=-1625191786",19.66
